,precision,recall,f1-score,support
0,0.9060402684563759,0.9642857142857143,0.9342560553633219,280.0
1,0.9655172413793104,0.9090909090909091,0.9364548494983278,308.0
accuracy,0.935374149659864,0.935374149659864,0.935374149659864,0.935374149659864
macro avg,0.9357787549178431,0.9366883116883117,0.9353554524308249,588.0
weighted avg,0.9371948733207702,0.935374149659864,0.9354078046721345,588.0
