,precision,recall,f1-score,support
0,0.9893992932862191,1.0,0.9946714031971582,280.0
1,1.0,0.9902597402597403,0.9951060358890702,308.0
accuracy,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.9948979591836735
macro avg,0.9946996466431095,0.9951298701298701,0.9948887195431142,588.0
weighted avg,0.9949520444220091,0.9948979591836735,0.9948990679405406,588.0
